Polymer,Solvent,Temperature (°C),Volume fraction,Interaction Parameter
Polyepichlorohydrin,methyl acetate,100,1,0.39
Polyepichlorohydrin,n-nonane,100,1,1.99
Polyepichlorohydrin,n-octane,100,1,1.89
Polyepichlorohydrin,n-pentane,100,1,1.64
Polyepichlorohydrin,1-pentanol,100,1,1.03
Polyepichlorohydrin,propane,100,1,1.71
Polyepichlorohydrin,1-propanol,100,1,1.22
Polyepichlorohydrin,propyl acetate,100,1,0.33
Polyepichlorohydrin,tetrahydrofuran,100,1,0.01
Polyepichlorohydrin,"1, 1, 1-trichloroethane",100,1,0.46
Polyepichlorohydrin,trichloroethylene,100,1,0.53
Polyepichlorohydrin,toluene,100,1,0.31
Polyepichlorohydrin,n-undecane,100,1,2.24
Poly(N-ethylacrylamide),ethanol,10 to 60,0.08,0.39 to 0.40
Poly(N-ethylacrylamide),water,3,0.05,0.42
Poly(N-ethylacrylamide),water,30,0.06,0.46
Poly(N-ethylacrylamide),water,60,0.1,0.51
"Polyethylene, low density",benzene,125 to 135,1,0.43 to 0.36
"Polyethylene, low density",1-butanol,135,1,1.38
"Polyethylene, low density",carbon tetrachloride,135,1,0.24
"Polyethylene, low density",chlorobenzene,135,1,0.34
"Polyethylene, low density",1-chlorobutane,135,1,0.44
"Polyethylene, low density",chloroform,135,1,0.41
"Polyethylene, low density",cyclohexane,125 to 135,1,0.18
"Polyethylene, low density",cyclohexanol,135,1,1.22
"Polyethylene, low density",cis-decahydronaphthalene,120 to 145,1,0.03
"Polyethylene, low density",trans-decahydronaphthalene,120 to 145,1,0.01
"Polyethylene, low density",n-decane,120 to 145,1,0.25 to 0.29
"Polyethylene, low density","2,4-dimethylhexane",120 to 145,1,0.33
"Polyethylene, low density","2,5-dimethylhexane",120 to 145,1,0.35
"Polyethylene, low density","3,4-dimethylhexane",120 to 145,1,0.25
"Polyethylene, low density",n-dodecane,110 to 145,1,0.18
"Polyethylene, low density",n-dodecane,120 to 145,1,0.24
"Polyethylene, low density",ethylbenzene,120 to 145,1,0.33
"Polyethylene, low density",n-heptane,109,0.2 to 0.6,0.29 to 0.34
"Polyethylene, low density",mesitylene,120 to 145,1,0.24
"Polyethylene, low density",3-methylheptane,120 to 145,1,0.3
"Polyethylene, low density",3-methylhexane,120 to 145,1,0.34
"Polyethylene, low density",n-nonane,120 to 145,1,0.28
"Polyethylene, low density",n-octane,120 to 145,1,0.3
"Polyethylene, low density",1-octene,135,1,0.31
"Polyethylene, low density",2-pentanone,135,1,0.88
"Polyethylene, low density",phenol,135,1,1.5
"Polyethylene, low density","1,2,3,4-tetrahydronaphthalene",105,0,0.495
"Polyethylene, low density","1,2,3,4-tetrahydronaphthalene",120 to 145,1,0.28
"Polyethylene, low density",toluene,120 to 145,1,0.34
"Polyethylene, low density","2,2,4-trimethylhexane",120 to 145,1,0.28
"Polyethylene, low density","2,2,4-trimethylpentane",120 to 145,1,0.34
"Polyethylene, low density",m-xylene,120 to 145,1,0.29
"Polyethylene, low density",p-xylene,81,0,0.45
"Polyethylene, low density",p-xylene,120 to 145,1,0.28
"Polyethylene, low density",xylene,73 to 92,0,0.49
"Polyethylene, high density",cis-decahydronaphthalene,149,1,0.07
"Polyethylene, high density",trans-decahydronapthalene,149,1,0.05
"Polyethylene, high density",n-decane,145 to 190,1,0.18
"Polyethylene, high density",n-decane,149,1,0.31
"Polyethylene, high density",n-decane,185,1,0.12
"Polyethylene, high density","2,4-dimethylhexane",149,1,0.38
"Polyethylene, high density","2,5-dimethylhexane",149,1,0.4
"Polyethylene, high density","3,4-dimethylhexane",149,1,0.31
"Polyethylene, high density",n-dodecane,149,1,0.28
"Polyethylene, high density",ethylbenzene,149,1,0.37
"Polyethylene, high density",mesitylene,149,1,0.28
"Polyethylene, high density",2-methylheptane,149,1,0.39
"Polyethylene, high density",3-methylhexane,149,1,0.4
"Polyethylene, high density",n-nonane,149,1,0.34
"Polyethylene, high density",n-octane,149,1,0.36
"Polyethylene, high density","1,2,3,4-tetrahydronaphthalene",149,1,0.32
"Polyethylene, high density",toluene,149,1,0.39
"Polyethylene, high density","2,2,4-trimethylhexane",149,1,0.35
"Polyethylene, high density","2,2,4-trimethylpentane",149,1,0.4
"Polyethylene, high density",m-xylene,149,1,0.34
"Polyethylene, high density",o-xylene,110,0,0.31
"Polyethylene, high density",p-xylene,105,0,0.22
"Polyethylene, high density",p-xylene,149,1,0.32
"Polyethylene, high density",xylene,85,0,0.34
Poly(ethylene adipate),acetone,120,1,0.53
Poly(ethylene adipate),benzene,120,1,0.58
Poly(ethylene adipate),2-butanone,120,1,0.88
Poly(ethylene adipate),carbon tetrachloride,120,1,0.88
Poly(ethylene adipate),chloroform,120,1,0.29
Poly(ethylene adipate),dichloromethane,120,1,0.96
Poly(ethylene adipate),ethyl acetate,120,1,0.55
Poly(ethylene adipate),n-heptane,120,1,2.1
Poly(ethylene adipate),n-hexane,120,1,2
Poly(ethylene adipate),n-pentane,120,1,1.8
Poly(ethylene oxide),acetone,100,1,0.47
Poly(ethylene oxide),benzene,50,0.2 to 0.6,0.18 to 0.10
Poly(ethylene oxide),benzene,70,0.2 to 0.8,0.19 to 0.09
Poly(ethylene oxide),benzene,100,1,0.13
Poly(ethylene oxide),n-butane,100,1,1.64
Poly(ethylene oxide),1-butanol,100,1,0.41
Poly(ethylene oxide),2-butanone,100,1,0.43
Poly(ethylene oxide),butyl acetate,100,1,0.48
Poly(ethylene oxide),carbon tetrachloride,100,1,0.38
Poly(ethylene oxide),chlorobenzene,100,1,-0.04
Poly(ethylene oxide),1-chlorobutane,100,1,0.57
Poly(ethylene oxide),chloroform,100,1,-0.55
Poly(ethylene oxide),chloromethane,100,1,0.12
Poly(ethylene oxide),1-chloropentane,100,1,0.63
Poly(ethylene oxide),cycloheptane,100,1,1.23
Poly(ethylene oxide),cyclohexane,100,1,1.23
Poly(ethylene oxide),cyclohexene,100,1,0.85
Poly(ethylene oxide),cyclooctane,100,1,1.26
Poly(ethylene oxide),cyclopentane,100,1,1.12
Poly(ethylene oxide),n-decane,100,1,2.1
Poly(ethylene oxide),"1,1-dichloroethane",100,1,-0.04
Poly(ethylene oxide),"1,2-dichloroethane",100,1,-0.31
Poly(ethylene oxide),dichloromethane,100,1,-0.51
Poly(ethylene oxide),"1,4-dioxane",100,1,0.2
Poly(ethylene oxide),ethanol,100,1,0.7
Poly(ethylene oxide),ethyl acetate,100,1,0.39
Poly(ethylene oxide),ethylbenzene,100,1,0.4
Poly(ethylene oxide),n-heptane,100,1,1.75
Poly(ethylene oxide),n-hexane,100,1,1.7
Poly(ethylene oxide),methyl acetate,100,1,0.36
Poly(ethylene oxide),n-nonane,100,1,1.97
Poly(ethylene oxide),n-octane,100,1,1.85
Poly(ethylene oxide),n-pentane,100,1,1.66
Poly(ethylene oxide),1-pentanol,100,1,0.34
Poly(ethylene oxide),propane,100,1,2.17
Poly(ethylene oxide),1-propanol,100,1,0.47
Poly(ethylene oxide),propyl acetate,100,1,0.43
Poly(ethylene oxide),tetrahydrofuran,100,1,0.3
Poly(ethylene oxide),"1,1,1-trichloroethane",100,1,0.2
Poly(ethylene oxide),trichloroethylene,100,1,0.08
Poly(ethylene oxide),toluene,100,1,0.26
Poly(ethylene oxide),n-undecane,100,1,2.22
Poly(ethylene succinate),acetone,120,1,0.61
Poly(ethylene succinate),benzene,120,1,0.79
Poly(ethylene succinate),2-butanone,120,1,0.69
Poly(ethylene succinate),carbon tetrachloride,120,1,1.32
Poly(ethylene succinate),chloroform,120,1,0.49
Poly(ethylene succinate),dichloromethane,120,1,1.09
Poly(ethylene succinate),ethyl acetate,120,1,0.7
Poly(ethylene succinate),n-heptane,120,1,1.9
Poly(ethylene succinate),n-hexane,120,1,1.9
Poly(ethylene succinate),n-pentane,120,1,2.6
Poly(hexamethylene sebacate),acetone,120,1,0.82
Poly(hexamethylene sebacate),benzene,120,1,0.21
Poly(hexamethylene sebacate),2-butanone,120,1,0.58
Poly(hexamethylene sebacate),carbon tetrachloride,120,1,0.37
Poly(hexamethylene sebacate),chloroform,120,1,0.06
Poly(hexamethylene sebacate),dichloromethane,120,1,0.81
Poly(hexamethylene sebacate),ethyl acetate,120,1,0.57
Poly(hexamethylene sebacate),n-heptane,120,1,1
Poly(hexamethylene sebacate),n-hexane,120,1,1.2
Poly(hexamethylene sebacate),n-pentane,120,1,1.1
Poly(2-hydroxyethyl methacrylate),di(ethylene glycol),25,0 to 0.35,0.49 to 0.40
Poly(4-hydroxystyrene),acetone,170 to 190,1,0.25 to 0.58
Poly(4-hydroxystyrene),2-butanone,170 to 190,1,0.52 to 0.62
Poly(4-hydroxystyrene),n-butyl acetate,170 to 190,1,1.47 to 1.20
Poly(4-hydroxystyrene),chlorobenzene,190,1,1.99
Poly(4-hydroxystyrene),ethyl acetate,170 to 190,1,1.06 to 1.07
Poly(4-hydroxystyrene),2-methyl-1-propanol,190,1,1.1
Poly(4-hydroxystyrene),3-pentanone,170 to 190,1,1.08 to 0.76
Poly(4-hydroxystyrene),1-propanol,190,1,1.01
Poly(4-hydroxystyrene),2-propanol,170 to 190,1,0.96 to 0.84
Poly(4-hydroxystyrene),n-propyl acetate,170 to 190,1,1.22 to 1.10
Poly(4-hydroxystyrene),tetrahydrofuran,170 to 190,1,0.21 to 0.27
Poly(4-hydroxystyrene),toluene,170 to 190,1,2.20 to 2.22
Polyisobutylene,acetone,100,1,1.9
Polyisobutylene,benzene,10,0.4 to 0.8,0.67 to 0.92
Polyisobutylene,benzene,25,0 to 1,0.498 to 1.06
Polyisobutylene,benzene,25 to 65,1,0.88 to 0.61
Polyisobutylene,benzene,27,0.6 to 1,0.73 to 1.07
Polyisobutylene,benzene,30,0,0.495
Polyisobutylene,benzene,40,0.6 to 0.8,0.70 to 0.80
Polyisobutylene,benzene,50,0 to 0.2,0.485 to 0.583
Polyisobutylene,benzene,100,1,0.7
Polyisobutylene,benzene,37 to 200,1,1.18 to 0.70
Polyisobutylene,n-butane,25 to 46,1,0.66
Polyisobutylene,n-butane,100,1,0.65
Polyisobutylene,1-butanol,100,1,2.45
Polyisobutylene,2-butanone,100,1,1.55
Polyisobutylene,butyl acetate,100,1,1.06
Polyisobutylene,carbon tetrachloride,100,1,0.48
Polyisobutylene,carbon tetrachloride,23.5,0.76 to 0.87,0.54
Polyisobutylene,chlorobenzene,100,1,0.7
Polyisobutylene,1-chlorobutane,100,1,0.68
Polyisobutylene,chloroform,100,1,0.78
Polyisobutylene,chloroform,23.5,0.82 to 0.91,0.67
Polyisobutylene,chloromethane,100,1,0.91
Polyisobutylene,1-chloropentane,100,1,0.59
Polyisobutylene,cycloheptane,100,1,0.29
Polyisobutylene,cyclohexane,8,0.2,0.437
Polyisobutylene,cyclohexane,25,0 to 1,0.43
Polyisobutylene,cyclohexane,25 to 65,1,0.55 to 0.40
Polyisobutylene,cyclohexane,30,0 to 0.2,0.44
Polyisobutylene,cyclohexane,100,1,0.39
Polyisobutylene,cyclohexane,23.5,0.75 to 0.86,0.38
Polyisobutylene,cyclohexene,100,1,0.4
Polyisobutylene,cyclooctane,100,1,0.24
Polyisobutylene,cyclopentane,100,1,0.41
Polyisobutylene,cyclopentane,23.5,0.79 to 0.86,0.32 to 0.27
Polyisobutylene,n-decane,100,1,0.48
Polyisobutylene,"1,1-dichloroethane",100,1,0.87
Polyisobutylene,"1,2-dichloroethane",100,1,1.13
Polyisobutylene,dichloromethane,100,1,1
Polyisobutylene,"2,2-dimethylbutane",23.5,0.71 to 0.85,0.49 to 0.46
Polyisobutylene,"2,2-dimethylpropane",25 to 46,1,0.82 to 0.87
Polyisobutylene,"2,2-dimethylpropane",35,0.8,0.82
Polyisobutylene,"1,4-dioxane",100,1,1.26
Polyisobutylene,ethanol,100,1,3.3
Polyisobutylene,ethyl acetate,100,1,1.35
Polyisobutylene,ethyl benzene,100,1,0.59
Polyisobutylene,n-heptane,25 to 65,1,0.57 to 0.47
Polyisobutylene,n-heptane,100,1,0.53
Polyisobutylene,n-heptane,23.5,0.80 to 0.87,0.51
Polyisobutylene,n-hexane,25 to 65,1,0.65 to 0.50
Polyisobutylene,n-hexane,100,1,0.56
Polyisobutylene,methyl acetate,100,1,1.55
Polyisobutylene,2-methylbutane,25 to 35,0.8,0.65
Polyisobutylene,2-methylbutane,35 to 46,1,0.65 to 0.68
Polyisobutylene,2-methylpropane,25 to 46,1,0.78 to 0.70
Polyisobutylene,n-nonane,25,1,0.49
Polyisobutylene,n-nonane,100,1,0.49
Polyisobutylene,n-octane,25,0.2 to 0.4,0.44 to 0.48
Polyisobutylene,n-octane,25 to 65,1,0.52 to 0.43
Polyisobutylene,n-octane,100,1,0.5
Polyisobutylene,n-pentane,25,0 to 1,0.48 to 0.75
Polyisobutylene,n-pentane,35,0.4 to 1,0.62
Polyisobutylene,n-pentane,40,0 to 0.4,0.49 to 0.57
Polyisobutylene,n-pentane,40 to 65,1,0.61 to 0.57
Polyisobutylene,n-pentane,55,0.6 to 0.8,0.63
Polyisobutylene,n-pentane,100,1,0.6
Polyisobutylene,1-pentanol,100,1,2.2
Polyisobutylene,propane,35,1,0.61
Polyisobutylene,propane,100,1,0.79
Polyisobutylene,propyl acetate,100,1,1.19
Polyisobutylene,tetrahydrofuran,100,1,0.68
Polyisobutylene,toluene,100,1,0.6
Polyisobutylene,"1,1,1-trichloroethane",100,1,0.56
Polyisobutylene,trichloroethylene,100,1,0.54
Polyisobutylene,"2,2,4-trimethylpentane",23.5,0.67 to 0.87,0.50 to 0.45
Polyisobutylene,n-undecane,100,1,0.48
Poly(cis-isoprene),acetone,0,1,2.1
Poly(cis-isoprene),acetone,25,0.8 to 1,1.27 to 1.8
Poly(cis-isoprene),benzene,10,0.6 to 0.8,0.42
Poly(cis-isoprene),benzene,25,0 to 1,0.40 to 0.43
Poly(cis-isoprene),benzene,25 to 55,1,0.46 to 0.43
Poly(cis-isoprene),benzene,40,0.8,0.41
Poly(cis-isoprene),benzene,23.5,0.69 to 0.86,0.33 to 0.28
Poly(cis-isoprene),2-butanone,25,0.6 to 1,0.86 to 1.43
Poly(cis-isoprene),2-butanone,45,0.6 to 1,0.83 to 1.2
Poly(cis-isoprene),carbon tetrachloride,23.5,0.69 to 0.84,0.14 to 0.02
Poly(cis-isoprene),cyclohexane,20,0 to 0.20,0.31
Poly(cis-isoprene),cyclohexane,23.5,0.64 to 0.84,0.29 to 0.21
Poly(cis-isoprene),dichloromethane,23.5,0.69 to 0.89,0.54 to 0.41
Poly(cis-isoprene),ethyl acetate,25,0.4 to 1,0.69 to 1.24
Poly(cis-isoprene),ethyl acetate,50,0.4 to 1,0.68 to 1.0
Poly(cis-isoprene),ethylbenzene,25 to 55,1,0.34 to 0.30
Poly(cis-isoprene),n-heptane,25 to 55,1,0.5
Poly(cis-isoprene),n-heptane,23.5,0.68 to 0.84,0.37 to 0.29
Poly(cis-isoprene),n-hexane,25 to 55,1,0.54 to 0.50
Poly(cis-isoprene),2-methylheptane,25 to 55,1,0.50 to 0.47
Poly(cis-isoprene),2-methylhexane,25 to 55,1,0.51
Poly(cis-isoprene),2-methylpentane,25 to 55,1,0.56 to 0.52
Poly(cis-isoprene),n-octane,25 to 55,1,0.49 to 0.46
Poly(cis-isoprene),n-pentane,25 to 55,1,0.61 to 0.53
Poly(cis-isoprene),toluene,25 to 55,1,0.36 to 0.32
Poly(cis-isoprene),"2,2,4-trimethylpentane",25 to 55,1,0.49 to 0.46
Poly(cis-isoprene),p-xylene,25 to 55,1,0.27
Poly(N-isopropylacrylamide),ethanol,10 to 60,0.09,0.46 to 0.47
Poly(N-isopropylacrylamide),water,3,0.07,0.49
Poly(N-isopropylacrylamide),water,30,0.14,0.55
Poly(N-isopropylacrylamide),water,60,0.74,1.08
Poly(DL-lactide),acetone,120,1,0.56
Poly(DL-lactide),benzene,120,1,0.52
Poly(DL-lactide),2-butanone,120,1,0.53
Poly(DL-lactide),carbon tetrachloride,120,1,0.89
Poly(DL-lactide),chloroform,120,1,0.32
Poly(DL-lactide),dichloromethane,120,1,0.99
Poly(DL-lactide),ethyl acetate,120,1,0.46
Poly(DL-lactide),n-heptane,120,1,2
Poly(DL-lactide),n-hexane,120,1,2
Poly(DL-lactide),n-pentane,120,1,1.6
Poly(methacrylamide),water,23 to 56,0,0.500 to 0.499
Poly(methacrylic acid),0.02 N HCl,20 to 58,0,0.498 to 0.500
Poly(methyl acrylate),acetone,100,1,0.4
Poly(methyl acrylate),benzene,90 to 110,1,0.51 to 0.37
Poly(methyl acrylate),n-butane,100,1,1.86
Poly(methyl acrylate),1-butanol,100,1,0.79
Poly(methyl acrylate),2-butanone,100,1,0.4
Poly(methyl acrylate),butyl acetate,100,1,0.58
Poly(methyl acrylate),butylbenzene,90 to 110,1,1.14 to 1.05
Poly(methyl acrylate),tert-butylbenzene,90 to 110,1,1.03 to 0.95
Poly(methyl acrylate),butylcyclohexane,90 to 110,1,2.3 to 2.1
Poly(methyl acrylate),carbon tetrachloride,100,1,0.68
Poly(methyl acrylate),chlorobenzene,100,1,0.31
Poly(methyl acrylate),1-chlorobutane,100,1,0.74
Poly(methyl acrylate),chloroform,100,1,-0.1
Poly(methyl acrylate),chloromethane,100,1,0.34
Poly(methyl acrylate),1-chloropentane,100,1,0.84
Poly(methyl acrylate),cycloheptane,100,1,1.56
Poly(methyl acrylate),cyclohexane,90 to 110,1,1.7 to 1.5
Poly(methyl acrylate),cyclohexene,100,1,1.31
Poly(methyl acrylate),cyclooctane,100,1,1.61
Poly(methyl acrylate),cyclopentane,100,1,1.47
Poly(methyl acrylate),cis-decahydronaphthalene,90 to 110,1,2.1 to 1.8
Poly(methyl acrylate),trans-decahydronaphthalene,90 to 110,1,2.1 to 1.9
Poly(methyl acrylate),n-decane,88 to 100,1,2.7 to 2.4
Poly(methyl acrylate),"1,1-dichloroethane",100,1,0.2
Poly(methyl acrylate),"1,2-dichloroethane",100,1,0.02
Poly(methyl acrylate),dichloroethane,100,1,-0.09
Poly(methyl acrylate),"1,4-dioxane",100,1,0.2
Poly(methyl acrylate),n-dodecane,90 to 110,1,3.0 to 2.7
Poly(methyl acrylate),ethanol,100,1,1.01
Poly(methyl acrylate),ethyl acetate,100,1,0.43
Poly(methyl acrylate),ethylbenzene,90 to 110,1,0.83 to 0.67
Poly(methyl acrylate),n-heptane,100,1,2.1
Poly(methyl acrylate),n-hexane,100,1,2.08
Poly(methyl acrylate),methyl acetate,100,1,0.38
Poly(methyl acrylate),naphthalene,100 to 110,1,0.48
Poly(methyl acrylate),n-nonane,100,1,2.4
Poly(methyl acrylate),n-octane,90 to 100,1,2.4 to 2.2
Poly(methyl acrylate),n-pentane,100,1,1.92
Poly(methyl acrylate),1-pentanol,100,1,0.76
Poly(methyl acrylate),propane,100,1,2.5
Poly(methyl acrylate),1-propanol,100,1,0.82
Poly(methyl acrylate),propyl acetate,100,1,0.49
Poly(methyl acrylate),n-tetradecane,90 to 110,1,3.4 to 3.1
Poly(methyl acrylate),tetrahydrofuran,100,1,0.34
Poly(methyl acrylate),"1,2,3,4-tetrahydronaphthalene",90 to 110,1,1.04 to 0.95
Poly(methyl acrylate),"3,3,4,4-tetramethylhexane",90 to 110,1,2.2 to 1.9
Poly(methyl acrylate),toluene,90 to 110,1,0.67 to 0.62
Poly(methyl acrylate),toluene,100,1,0.53
Poly(methyl acrylate),"1,1,1-trichloroethane",100,1,0.43
Poly(methyl acrylate),trichloroethylene,100,1,0.45
Poly(methyl acrylate),"3,4,5-trimethylheptane",90 to 110,1,2.4 to 2.2
Poly(methyl acrylate),"2,2,5-trimethylhexane",90 to 110,1,2.5 to 2.2
Poly(methyl acrylate),"2,2,4-trimethylpentane",90 to 110,1,2.4 to 2.1
Poly(methyl acrylate),n-undecane,100,1,2.7
Poly(methyl methacrylate),acetone,25 to 27,0,0.48
Poly(methyl methacrylate),benzene,16 to 27,0,0.47 to 0.44
Poly(methyl methacrylate),butyl acetate,2 to 60,0,0.496 to 0.487
Poly(methyl methacrylate),1-chlorobutane,14 to 48,0,0.515 to 0.495
Poly(methyl methacrylate),chloroform,27,0,0.44
Poly(methyl methacrylate),"1,4-dioxane",27,0,0.42
Poly(methyl methacrylate),4-heptanone,16 to 62,0,0.515 to 0.490
Poly(methyl methacrylate),isoamyl acetate,20 to 60,0,0.524 to 0.499
Poly(methyl methacrylate),3-pentanone,27,0,0.49
Poly(methyl methacrylate),tetrahydrofuran,25 to 27,0,0.494 to 0.46
Poly(methyl methacrylate),toluene,27,0,0.45
Poly(methyl methacrylate),m-xylene,27,0,0.5
Poly(a-methylstyrene),toluene,25,0.3 to 0.7,0.48 to 0.65
Polypropylene,acetone,100,1,1.72
Polypropylene,benezene,25,0,0.498
Polypropylene,benezene,100,1,0.51
Polypropylene,butane,100,1,0.37
Polypropylene,1-butanol,100,1,2.23
Polypropylene,2-butanone,100,1,1.36
Polypropylene,butyl acetate,100,1,0.84
Polypropylene,carbon tetrachloride,100,1,0.29
Polypropylene,chlorobenzene,100,1,0.54
Polypropylene,1-chlorobutane,100,1,0.48
Polypropylene,chloroform,100,1,0.61
Polypropylene,chloromethane,100,1,0.76
Polypropylene,1-chloropentane,100,1,0.39
Polypropylene,cycloheptane,100,1,0.1
Polypropylene,cyclohexane,25,0,0.42
Polypropylene,cyclohexane,100,1,0.17
Polypropylene,cyclohexene,100,1,0.22
Polypropylene,cyclooctane,100,1,0.06
Polypropylene,cyclopentane,100,1,0.21
Polypropylene,"1,1-dichloroethane",100,1,0.7
Polypropylene,"1,2-dichloroethane",100,1,0.97
Polypropylene,dichloromethane,100,1,0.86
Polypropylene,"1,4-dioxane",100,1,1.15
Polypropylene,ethanol,100,1,3
Polypropylene,ethyl acetate,100,1,1.14
Polypropylene,ethylbenzene,100,1,0.4
Polypropylene,n-decane,100,1,0.18
Polypropylene,n-heptane,100,1,0.24
Polypropylene,n-hexane,80,1,0.18
Polypropylene,n-hexane,100,1,0.28
Polypropylene,methyl acetate,100,1,1.37
Polypropylene,n-nonane,100,1,0.2
Polypropylene,n-octane,100,1,0.22
Polypropylene,n-pentane,100,1,0.35
Polypropylene,1-pentanol,100,1,1.99
Polypropylene,propane,100,1,0.46
Polypropylene,propyl acetate,100,1,0.96
Polypropylene,tetrahydrofuran,100,1,0.55
Polypropylene,toluene,100,1,0.43
Polypropylene,"1,1,1-trichloroethane",100,1,0.37
Polypropylene,trichloroethylene,100,1,0.39
Polypropylene,n-undecane,100,1,0.17
Polystyrene,acetic acid,162 to 229,1,3.0 to 2.1
Polystyrene,acetone,25,0.6 to 1,0.81 to 1.1
Polystyrene,acetone,40,1,1.08
Polystyrene,acetone,50,0.6 to 0.8,0.80 to 0.92
Polystyrene,acetone,162 to 229,1,1.30 to 0.56
Polystyrene,acetonitrile,162 to 229,1,2.02 to 0.93
Polystyrene,aniline,162 to 229,1,1.11 to 0.68
Polystyrene,benzaldehyde,162 to 229,1,1.22 to 0.80
Polystyrene,benzene,15,0.3 to 0.8,0.40 to 0.26
Polystyrene,benzene,25 to 30,0,0.455 to 0.43
Polystyrene,benzene,30,0.3 to 0.8,0.40 to 0.26
Polystyrene,benzene,40,1,0.26
Polystyrene,benzene,45,0.3 to 0.8,0.40 to 0.26
Polystyrene,benzene,60,0.3 to 0.8,0.40 to 0.26
Polystyrene,benzene,120 to 200,1,0.32 to 0.39
Polystyrene,benzene,160 to 180,1,0.29 to 0.24
Polystyrene,benzene,162 to 229,1,0.66 to 0.13
Polystyrene,benzene,23.5,0.61 to 0.79,0.28 to 0.17
Polystyrene,benzyl alcohol,162 to 229,1,1.42 to 0.65
Polystyrene,1-butanol,162 to 229,1,1.47 to 0.82
Polystyrene,2-butanone,10 to 50,0.2,0.547 to 0.542
Polystyrene,2-butanone,25,0.4 to 0.8,0.63 to 0.77
Polystyrene,2-butanone,27 to 52,0,0.490 to 0.474
Polystyrene,2-butanone,40,1,0.84
Polystyrene,2-butanone,70,0.6 to 0.8,0.63 to 0.72
Polystyrene,2-butanone,162 to 229,1,1.16 to 0.36
Polystyrene,butyl acetate,30,0,0.466
Polystyrene,butyl acetate,162 to 229,1,1.01 to 0.45
Polystyrene,tert-butyl acetate,22 to 64,0,0.501 to 0.494
Polystyrene,tert-butyl acetate,64 to 111,0,0.494 to 0.501
Polystyrene,tert-butyl acetate,30 to 90,0.12 to 0.32,0.60 to 0.59
Polystyrene,tert-butyl acetate,143 to 183,1,0.39 to 0.1
Polystyrene,butylbenzene,183 to 203,1,0.38 to 0.34
Polystyrene,butylcyclohexane,160 to 180,1,0.77 to 0.71
Polystyrene,carbon tetrachloride,40,1,0.29
Polystyrene,carbon tetrachloride,162 to 229,1,0.90 to 0.26
Polystyrene,carbon tetrachloride,23.5,0.71 to 0.81,0.22 to 0.24
Polystyrene,chlorobenzene,30,0,0.454
Polystyrene,chlorobenzene,162 to 229,1,0.68 to 0.28
Polystyrene,chlorobenzene,137.6,1,0.3
Polystyrene,chloroform,25,0.2 to 0.8,0.52 to 0.17
Polystyrene,chloroform,40,1,0.13
Polystyrene,chloroform,50,0.2 to 0.8,0.45 to 0.14
Polystyrene,chloroform,162 to 229,1,0.43 to -0.01
Polystyrene,cumene,25,0,0.444
Polystyrene,cyclohexane,15,0.5,0.77
Polystyrene,cyclohexane,24,0 to 0.2,0.508 to 0.58
Polystyrene,cyclohexane,30,0.3,0.62
Polystyrene,cyclohexane,34,0 to 0.8,0.500 to 0.93
Polystyrene,cyclohexane,35,0 to 0.3,0.50 to 0.57
Polystyrene,cyclohexane,40,1,0.64
Polystyrene,cyclohexane,44,0 to 0.8,0.494 to 0.93
Polystyrene,cyclohexane,45,0 to 0.3,0.49 to 0.56
Polystyrene,cyclohexane,49 to 60,0,0.495 to 0.486
Polystyrene,cyclohexane,50,0.1,0.51
Polystyrene,cyclohexane,65,0 to 0.3,0.47 to 0.54
Polystyrene,cyclohexane,160 to 180,1,0.62 to 0.53
Polystyrene,cyclohexane,162 to 229,1,1.11 to 0.46
Polystyrene,cyclohexane,23.5,0.78 to 0.84,0.79 to 0.81
Polystyrene,cyclohexane,30 to 50,0,0.52 to 0.39
Polystyrene,cyclohexane,35,0.28 to 0.94,0.61 to 1.08
Polystyrene,cyclohexane,65,0.23 to 0.92,0.52 to 0.69
Polystyrene,cyclohexanone,27 to 57,0,0.436
Polystyrene,cyclopentane,40,1,0.64
Polystyrene,cis-decahydronapthalene,183 to 203,1,0.47 to 0.42
Polystyrene,trans-decahydronaphthalene,183 to 203,1,0.52 to 0.46
Polystyrene,n-decane,183 to 203,1,1.01 to 0.94
Polystyrene,n-decane,120 to 160,1,1.36 to 1.03
Polystyrene,"1,2-dichloroethane",162 to 229,1,0.85 to 0.22
Polystyrene,dichloromethane,40,1,0.34
Polystyrene,dichloromethane,162 to 229,1,0.62 to -0.21
Polystyrene,dichloromethane,23.5,0.64 to 0.82,0.17 to 0.05
Polystyrene,"1,4-dioxane",40,1,0.43
Polystyrene,"1,4-dioxane",162 to 229,1,0.95 to 0.42
Polystyrene,n-dodecane,183 to 203,1,1.09 to 1.00
Polystyrene,ethanol,162 to 229,1,1.80 to 0.43
Polystyrene,ethyl acetate,27 to 49,0,0.49
Polystyrene,ethyl acetate,162 to 229,1,1.14 to 0.35
Polystyrene,ethylbenzene,10 to 60,0.2,0.44
Polystyrene,ethylbenzene,25,0,0.45
Polystyrene,ethylbenzene,120 to 185,1,0.22 to 0.14
Polystyrene,ethylene glycol,162 to 229,1,3.8 to 2.2
Polystyrene,ethyl ether,162 to 229,1,0.78 to 0.71
Polystyrene,fluorobenzene,40,1,0.37
Polystyrene,formamide,162 to 229,1,4.1 to 3.2
Polystyrene,n-heptane,40,1,0.95
Polystyrene,n-heptane,162 to 229,1,1.33 to 0.25
